Order ID,Order Date,Order Status,Customer ID,Customer Type,Subtotal,Shipping Cost,Tax Amount,Total Amount,Number of Items,Product Category,State,Traffic Source,Device Type,Shipping Method,Days to Ship
ORD_000515,2024-07-23 03:04:40.685384,completed,CUST_0167,new_customer,103.41,0.0,5.48,108.89,3,Tops,Virginia,direct,desktop,standard,2
ORD_000416,2024-07-23 12:37:29.685384,completed,CUST_0136,new_customer,347.96,0.0,0.0,347.96,7,Bottoms,Oregon,direct,tablet,standard,3
ORD_000572,2024-07-23 20:09:35.685384,completed,CUST_0110,returning_customer,60.0,12.99,3.18,76.17,4,Accessories,Virginia,direct,tablet,express,1
ORD_000048,2024-07-25 09:14:29.685384,completed,CUST_0018,returning_customer,49.98,5.99,4.0,59.97,1,Tops,New York,email,mobile,standard,3
ORD_000045,2024-07-25 10:39:33.685384,completed,CUST_0021,new_customer,31.2,5.99,1.56,38.75,1,Tops,Wisconsin,facebook,desktop,standard,3
ORD_000876,2024-07-26 00:24:14.685384,completed,CUST_0203,returning_customer,43.15,5.99,3.78,52.92,1,Bottoms,California,direct,mobile,standard,2
ORD_000706,2024-07-27 05:33:17.685384,completed,CUST_0150,returning_customer,307.09,0.0,24.57,331.66,4,Shoes,New York,google,mobile,standard,2
ORD_000427,2024-07-27 05:49:49.685384,completed,CUST_0141,new_customer,75.85,0.0,6.64,82.49,1,Shoes,California,email,mobile,standard,3
ORD_000799,2024-07-27 10:43:33.685384,cancelled,CUST_0122,returning_customer,44.21,12.99,3.54,60.74,1,Bottoms,New York,facebook,mobile,express,1
ORD_000509,2024-07-27 11:28:04.685384,completed,CUST_0165,new_customer,107.47,0.0,5.05,112.52,4,Tops,Utah,direct,mobile,standard,4
ORD_000877,2024-07-28 12:52:27.685384,completed,CUST_0070,returning_customer,66.44,5.99,2.99,75.42,1,Shoes,Louisiana,facebook,desktop,standard,2
ORD_000280,2024-07-28 22:57:17.685384,completed,CUST_0070,returning_customer,63.0,5.99,2.84,71.83,2,Tops,Louisiana,google,tablet,standard,4
ORD_000050,2024-07-29 01:34:44.685384,completed,CUST_0008,returning_customer,33.51,5.99,2.93,42.43,1,Bottoms,California,direct,mobile,standard,2
ORD_000055,2024-07-29 09:19:09.685384,completed,CUST_0012,returning_customer,83.69,0.0,5.55,89.24,3,Accessories,New Jersey,facebook,desktop,express,1
ORD_000843,2024-07-30 04:43:51.685384,completed,CUST_0247,new_customer,143.45,0.0,12.55,156.0,3,Bottoms,California,direct,desktop,overnight,1
ORD_000145,2024-07-30 07:34:52.685384,completed,CUST_0060,returning_customer,51.55,5.99,2.06,59.6,1,Bottoms,Alabama,direct,mobile,standard,2
ORD_000374,2024-07-31 00:49:20.685384,completed,CUST_0128,new_customer,76.54,0.0,4.98,81.52,1,Shoes,Washington,direct,desktop,standard,4
ORD_000330,2024-07-31 05:30:12.685384,completed,CUST_0058,returning_customer,109.37,0.0,6.29,115.66,3,Bottoms,Ohio,direct,desktop,express,1
ORD_000308,2024-07-31 11:24:21.685384,completed,CUST_0088,returning_customer,18.99,5.99,1.66,26.64,1,Accessories,California,facebook,tablet,standard,4
ORD_000172,2024-07-31 17:35:15.685384,cancelled,CUST_0034,returning_customer,105.59,0.0,6.34,111.93,4,Accessories,Florida,google,mobile,overnight,1
ORD_000247,2024-08-01 11:19:21.685384,completed,CUST_0012,returning_customer,99.2,0.0,6.58,105.78,4,Accessories,New Jersey,facebook,desktop,standard,2
ORD_000260,2024-08-01 15:22:06.685384,completed,CUST_0099,new_customer,36.66,12.99,2.93,52.58,1,Tops,New York,facebook,desktop,express,2
ORD_000030,2024-08-02 06:12:24.685384,completed,CUST_0015,new_customer,86.37,0.0,5.4,91.77,3,Accessories,Texas,direct,mobile,express,1
ORD_000179,2024-08-02 08:10:34.685384,completed,CUST_0049,returning_customer,160.57,0.0,7.23,167.8,4,Tops,Louisiana,direct,desktop,standard,5
ORD_000349,2024-08-02 08:44:43.685384,completed,CUST_0057,returning_customer,160.4,0.0,10.02,170.42,4,Bottoms,Texas,google,mobile,express,1
ORD_000812,2024-08-02 10:25:33.685384,completed,CUST_0062,returning_customer,280.48,0.0,16.83,297.31,4,Shoes,Florida,facebook,mobile,standard,3
ORD_000274,2024-08-02 10:34:31.685384,completed,CUST_0103,new_customer,88.63,0.0,5.1,93.73,2,Bottoms,Ohio,direct,desktop,standard,2
ORD_000271,2024-08-03 08:45:20.685384,completed,CUST_0004,returning_customer,208.5,0.0,12.51,221.01,5,Tops,Maryland,instagram,tablet,standard,4
ORD_000051,2024-08-03 12:16:42.685384,completed,CUST_0019,returning_customer,299.1,0.0,23.93,323.03,5,Shoes,New York,direct,mobile,standard,3
ORD_000420,2024-08-03 12:47:14.685384,completed,CUST_0138,new_customer,31.65,5.99,1.5,39.14,1,Accessories,North Carolina,facebook,desktop,standard,5
ORD_000484,2024-08-03 16:21:10.685384,completed,CUST_0043,returning_customer,275.12,0.0,15.82,290.94,3,Shoes,Ohio,direct,mobile,standard,3
ORD_000865,2024-08-03 17:30:50.685384,completed,CUST_0191,returning_customer,149.38,0.0,5.98,155.36,4,Tops,Georgia,facebook,mobile,express,2
ORD_000800,2024-08-04 00:05:42.685384,completed,CUST_0234,new_customer,52.81,5.99,4.62,63.42,1,Bottoms,California,google,desktop,standard,4
ORD_000535,2024-08-04 07:26:31.685384,completed,CUST_0067,returning_customer,69.95,5.99,4.02,79.96,2,Accessories,Ohio,google,desktop,standard,3
ORD_000801,2024-08-04 09:58:32.685384,completed,CUST_0227,returning_customer,53.79,5.99,3.23,63.01,1,Tops,Pennsylvania,facebook,desktop,standard,4
ORD_000711,2024-08-04 17:34:39.685384,completed,CUST_0192,returning_customer,48.83,5.99,2.93,57.75,1,Bottoms,Pennsylvania,facebook,desktop,standard,2
ORD_000906,2024-08-04 19:15:08.685384,completed,CUST_0099,returning_customer,147.65,0.0,11.81,159.46,3,Bottoms,New York,google,desktop,standard,2
ORD_000123,2024-08-04 22:06:30.685384,completed,CUST_0053,new_customer,30.0,5.99,2.62,38.61,2,Accessories,California,facebook,desktop,standard,2
ORD_000504,2024-08-05 03:41:57.685384,completed,CUST_0030,returning_customer,161.52,0.0,6.46,167.98,3,Bottoms,Georgia,google,mobile,standard,4
ORD_000764,2024-08-05 09:34:17.685384,completed,CUST_0200,returning_customer,62.77,5.99,3.99,72.75,2,Bottoms,Connecticut,email,mobile,standard,2
ORD_000657,2024-08-05 20:32:32.685384,completed,CUST_0115,returning_customer,30.69,5.99,1.84,38.52,1,Tops,Florida,facebook,tablet,standard,3
ORD_000238,2024-08-05 21:34:04.685384,completed,CUST_0014,returning_customer,75.27,0.0,6.02,81.29,2,Bottoms,New York,facebook,desktop,express,1
ORD_000592,2024-08-06 08:21:05.685384,completed,CUST_0184,new_customer,191.02,0.0,8.6,199.62,4,Bottoms,Oklahoma,google,mobile,express,1
ORD_000611,2024-08-06 08:28:20.685384,completed,CUST_0187,new_customer,52.2,5.99,3.13,61.32,1,Bottoms,Florida,email,mobile,standard,3
ORD_000827,2024-08-06 10:09:03.685384,completed,CUST_0128,returning_customer,103.25,0.0,6.71,109.96,4,Accessories,Washington,facebook,mobile,standard,2
ORD_000175,2024-08-06 18:32:03.685384,completed,CUST_0013,returning_customer,131.92,0.0,10.55,142.47,3,Tops,New York,email,mobile,standard,2
ORD_000227,2024-08-07 07:22:52.685384,completed,CUST_0028,returning_customer,252.59,0.0,16.04,268.63,3,Shoes,Connecticut,direct,desktop,express,1
ORD_000993,2024-08-07 09:05:33.685384,completed,CUST_0264,new_customer,42.94,5.99,2.58,51.51,1,Bottoms,Michigan,facebook,mobile,standard,2
ORD_000125,2024-08-07 19:27:28.685384,completed,CUST_0054,new_customer,72.86,5.99,4.37,83.22,3,Accessories,Pennsylvania,google,mobile,standard,3
ORD_000747,2024-08-07 20:43:52.685384,completed,CUST_0034,returning_customer,33.08,5.99,2.32,41.39,1,Accessories,Tennessee,facebook,mobile,standard,5
ORD_000044,2024-08-07 21:24:35.685384,completed,CUST_0008,returning_customer,157.07,0.0,13.74,170.81,2,Shoes,California,direct,mobile,standard,5
ORD_000699,2024-08-08 22:30:59.685384,completed,CUST_0215,new_customer,118.28,0.0,10.35,128.63,3,Tops,California,direct,desktop,standard,4
ORD_000992,2024-08-09 14:45:22.685384,completed,CUST_0229,returning_customer,433.96,0.0,37.97,471.93,6,Shoes,California,email,mobile,standard,4
ORD_000715,2024-08-09 19:27:01.685384,completed,CUST_0219,new_customer,193.04,0.0,16.89,209.93,7,Accessories,California,facebook,desktop,express,1
ORD_000040,2024-08-09 21:27:31.685384,completed,CUST_0019,new_customer,82.91,0.0,6.63,89.54,1,Shoes,New York,direct,mobile,standard,2
ORD_000841,2024-08-10 00:35:16.685384,completed,CUST_0246,new_customer,53.38,12.99,4.67,71.04,3,Accessories,California,google,desktop,express,1
ORD_000789,2024-08-10 02:38:59.685384,completed,CUST_0016,returning_customer,80.28,0.0,7.02,87.3,2,Bottoms,California,google,mobile,standard,2
ORD_000171,2024-08-10 09:31:05.685384,completed,CUST_0059,returning_customer,84.19,0.0,6.74,90.93,2,Bottoms,New York,google,desktop,standard,3
ORD_000352,2024-08-10 17:17:03.685384,completed,CUST_0018,returning_customer,81.72,0.0,5.42,87.14,2,Tops,New Jersey,email,desktop,standard,2
ORD_000554,2024-08-10 21:49:33.685384,completed,CUST_0083,returning_customer,232.83,0.0,13.97,246.8,5,Bottoms,Kentucky,email,mobile,express,1
ORD_000570,2024-08-10 23:55:44.685384,completed,CUST_0049,returning_customer,80.45,0.0,3.62,84.07,2,Tops,Louisiana,direct,desktop,standard,4
ORD_000639,2024-08-11 00:14:00.685384,completed,CUST_0165,returning_customer,147.1,0.0,6.91,154.01,2,Shoes,Utah,direct,mobile,standard,3
ORD_000007,2024-08-11 08:48:23.685384,completed,CUST_0004,new_customer,73.5,12.99,3.9,90.39,2,Tops,Virginia,facebook,mobile,express,1
ORD_000603,2024-08-11 09:45:20.685384,completed,CUST_0186,new_customer,162.18,0.0,9.73,171.91,2,Shoes,South Carolina,google,mobile,express,2
ORD_000511,2024-08-11 15:16:51.685384,completed,CUST_0030,returning_customer,222.72,0.0,8.91,231.63,4,Bottoms,Georgia,google,mobile,standard,3
ORD_000731,2024-08-11 18:15:52.685384,completed,CUST_0134,returning_customer,47.23,12.99,3.07,63.29,1,Bottoms,Washington,email,mobile,express,1
ORD_000320,2024-08-12 21:50:37.685384,completed,CUST_0115,new_customer,35.06,5.99,2.02,43.07,1,Accessories,Ohio,direct,tablet,standard,3
ORD_000662,2024-08-12 23:07:58.685384,completed,CUST_0203,new_customer,46.06,5.99,4.03,56.08,1,Bottoms,California,google,mobile,standard,2
ORD_000664,2024-08-13 05:05:28.685384,completed,CUST_0051,returning_customer,30.0,5.99,0.0,35.99,2,Accessories,Oregon,direct,mobile,standard,2
ORD_000429,2024-08-13 05:11:33.685384,completed,CUST_0142,new_customer,128.45,0.0,7.71,136.16,4,Tops,Kentucky,facebook,desktop,standard,2
ORD_000070,2024-08-13 15:39:43.685384,cancelled,CUST_0002,returning_customer,28.53,24.99,2.28,55.8,1,Tops,New York,instagram,mobile,overnight,1
ORD_000920,2024-08-14 02:54:30.685384,completed,CUST_0251,returning_customer,81.12,0.0,5.07,86.19,4,Accessories,Texas,direct,mobile,standard,3
ORD_000207,2024-08-14 08:43:32.685384,completed,CUST_0004,returning_customer,171.94,0.0,10.32,182.26,4,Tops,Maryland,facebook,mobile,standard,2
ORD_000276,2024-08-14 20:28:27.685384,completed,CUST_0031,returning_customer,201.77,0.0,17.65,219.42,7,Accessories,California,direct,tablet,standard,4
ORD_000369,2024-08-15 05:59:58.685384,completed,CUST_0126,new_customer,75.51,0.0,4.34,79.85,2,Bottoms,Ohio,direct,desktop,express,1
ORD_000953,2024-08-15 12:19:17.685384,completed,CUST_0237,returning_customer,141.97,0.0,8.52,150.49,2,Shoes,Kentucky,google,mobile,standard,3
ORD_000959,2024-08-16 01:42:14.685384,completed,CUST_0238,returning_customer,69.18,5.99,2.01,77.18,2,Tops,Colorado,direct,mobile,standard,5
ORD_000024,2024-08-16 03:50:14.685384,completed,CUST_0009,returning_customer,216.23,0.0,9.73,225.96,3,Shoes,Louisiana,direct,mobile,standard,2
ORD_000466,2024-08-17 06:15:17.685384,completed,CUST_0061,returning_customer,213.18,0.0,12.79,225.97,3,Shoes,Pennsylvania,google,desktop,standard,4
ORD_000889,2024-08-17 15:35:14.685384,completed,CUST_0215,returning_customer,75.45,0.0,5.28,80.73,1,Shoes,Tennessee,direct,mobile,standard,2
ORD_000331,2024-08-17 19:32:12.685384,completed,CUST_0120,new_customer,87.39,0.0,5.24,92.63,3,Tops,Florida,google,desktop,express,1
ORD_000305,2024-08-18 19:19:04.685384,completed,CUST_0102,returning_customer,130.66,0.0,9.15,139.81,4,Tops,Indiana,google,desktop,overnight,1
ORD_000321,2024-08-19 06:07:29.685384,completed,CUST_0116,new_customer,40.93,5.99,3.58,50.5,1,Bottoms,California,email,mobile,standard,3
ORD_000666,2024-08-19 12:37:25.685384,completed,CUST_0116,returning_customer,50.32,12.99,4.4,67.71,1,Bottoms,California,google,mobile,express,1
ORD_000830,2024-08-20 12:56:04.685384,completed,CUST_0082,returning_customer,418.87,0.0,22.2,441.07,5,Shoes,Virginia,direct,desktop,standard,3
ORD_000802,2024-08-20 18:22:49.685384,completed,CUST_0235,new_customer,78.54,0.0,6.87,85.41,2,Bottoms,California,email,desktop,standard,2
ORD_000209,2024-08-20 21:36:46.685384,completed,CUST_0068,returning_customer,100.75,0.0,6.04,106.79,3,Accessories,Pennsylvania,google,desktop,standard,4
ORD_000473,2024-08-20 22:49:16.685384,completed,CUST_0034,returning_customer,51.35,5.99,3.08,60.42,1,Bottoms,Florida,facebook,mobile,standard,3
ORD_000032,2024-08-21 12:49:58.685384,completed,CUST_0006,returning_customer,55.46,5.99,4.44,65.89,2,Accessories,New York,direct,mobile,standard,2
ORD_000234,2024-08-21 20:14:08.685384,completed,CUST_0030,returning_customer,73.37,5.99,2.93,82.29,1,Shoes,Georgia,facebook,desktop,standard,3
ORD_000839,2024-08-22 01:43:17.685384,completed,CUST_0244,new_customer,118.66,0.0,10.38,129.04,4,Tops,California,email,desktop,standard,2
ORD_000053,2024-08-22 12:00:42.685384,completed,CUST_0010,returning_customer,31.11,5.99,1.87,38.97,1,Tops,South Carolina,google,mobile,standard,2
ORD_000262,2024-08-22 13:36:12.685384,completed,CUST_0020,returning_customer,51.4,12.99,3.08,67.47,1,Bottoms,Florida,direct,desktop,express,1
ORD_000626,2024-08-22 15:03:51.685384,completed,CUST_0191,new_customer,65.19,5.99,2.61,73.79,2,Tops,Georgia,facebook,mobile,standard,2
ORD_000891,2024-08-22 18:14:03.685384,completed,CUST_0196,returning_customer,40.12,12.99,2.41,55.52,1,Tops,Maryland,direct,desktop,express,1
ORD_000483,2024-08-22 21:39:24.685384,completed,CUST_0078,returning_customer,83.17,0.0,5.2,88.37,1,Shoes,Texas,instagram,tablet,standard,3
ORD_000189,2024-08-22 23:57:22.685384,completed,CUST_0047,returning_customer,101.17,0.0,6.71,107.88,2,Bottoms,New Jersey,google,mobile,express,1
ORD_000744,2024-08-23 00:27:14.685384,completed,CUST_0226,new_customer,43.6,12.99,3.05,59.64,2,Bottoms,Tennessee,facebook,desktop,express,1
ORD_000359,2024-08-23 18:58:18.685384,completed,CUST_0060,returning_customer,145.86,0.0,5.83,151.69,2,Shoes,Alabama,facebook,mobile,standard,2
ORD_000887,2024-08-25 07:24:46.685384,completed,CUST_0181,returning_customer,22.24,5.99,1.33,29.56,1,Accessories,Michigan,facebook,desktop,standard,2
ORD_000962,2024-08-25 14:56:08.685384,completed,CUST_0001,returning_customer,104.73,0.0,6.02,110.75,2,Shoes,Ohio,instagram,desktop,standard,4
ORD_000533,2024-08-25 23:06:12.685384,completed,CUST_0172,new_customer,132.11,0.0,7.93,140.04,3,Tops,Pennsylvania,direct,mobile,express,1
ORD_000362,2024-08-26 06:44:07.685384,completed,CUST_0120,returning_customer,46.22,12.99,3.7,62.91,2,Tops,New York,direct,desktop,express,1
ORD_000191,2024-08-26 08:05:17.685384,completed,CUST_0029,returning_customer,59.37,12.99,3.71,76.07,3,Accessories,Illinois,facebook,desktop,express,2
ORD_000322,2024-08-26 09:12:45.685384,completed,CUST_0117,new_customer,162.44,0.0,9.75,172.19,2,Shoes,Florida,google,mobile,standard,4
ORD_000902,2024-08-26 21:54:25.685384,completed,CUST_0166,returning_customer,122.56,0.0,5.82,128.38,3,Tops,North Carolina,email,desktop,express,1
ORD_000524,2024-08-26 23:09:17.685384,completed,CUST_0024,returning_customer,35.6,24.99,2.85,63.44,1,Tops,New York,direct,mobile,overnight,1
ORD_000794,2024-08-27 22:13:19.685384,completed,CUST_0164,returning_customer,68.48,5.99,5.99,80.46,2,Tops,California,facebook,mobile,standard,3
ORD_000888,2024-08-28 01:03:22.685384,completed,CUST_0145,returning_customer,233.48,0.0,13.43,246.91,6,Tops,Ohio,google,mobile,express,1
ORD_000272,2024-08-28 09:24:57.685384,completed,CUST_0102,new_customer,136.98,0.0,9.59,146.57,2,Shoes,Indiana,google,desktop,overnight,1
ORD_000580,2024-08-28 22:26:58.685384,completed,CUST_0182,new_customer,44.67,12.99,3.07,60.73,2,Accessories,Minnesota,google,mobile,express,1
ORD_000520,2024-08-30 03:31:05.685384,completed,CUST_0170,new_customer,148.49,0.0,8.91,157.4,3,Accessories,Florida,direct,desktop,standard,2
ORD_000249,2024-08-30 06:15:53.685384,completed,CUST_0058,returning_customer,79.06,0.0,4.55,83.61,1,Shoes,Ohio,email,mobile,standard,3
ORD_000576,2024-08-30 08:46:39.685384,completed,CUST_0171,returning_customer,69.35,5.99,4.16,79.5,1,Shoes,Pennsylvania,direct,desktop,standard,3
ORD_000437,2024-08-31 12:51:24.685384,cancelled,CUST_0097,returning_customer,31.27,12.99,1.95,46.21,1,Accessories,Illinois,facebook,mobile,express,1
ORD_000984,2024-08-31 12:55:21.685384,completed,CUST_0212,returning_customer,53.3,5.99,3.33,62.62,1,Bottoms,Texas,google,mobile,standard,2
ORD_000502,2024-09-01 00:21:27.685384,completed,CUST_0101,returning_customer,84.44,0.0,7.39,91.83,2,Tops,California,instagram,mobile,express,1
ORD_000881,2024-09-01 15:31:58.685384,completed,CUST_0251,new_customer,71.41,5.99,4.46,81.86,1,Shoes,Texas,google,mobile,standard,5
ORD_000944,2024-09-01 20:06:25.685384,completed,CUST_0008,returning_customer,330.97,0.0,17.54,348.51,4,Shoes,Virginia,direct,mobile,express,1
ORD_000318,2024-09-02 01:33:15.685384,completed,CUST_0062,returning_customer,44.82,5.99,2.69,53.5,1,Bottoms,Florida,email,mobile,standard,2
ORD_000727,2024-09-02 12:11:53.685384,completed,CUST_0221,new_customer,138.92,0.0,7.99,146.91,3,Bottoms,Ohio,direct,desktop,standard,3
ORD_000155,2024-09-03 03:08:02.685384,completed,CUST_0069,new_customer,39.8,5.99,2.39,48.18,2,Accessories,Kentucky,direct,desktop,standard,4
ORD_000568,2024-09-03 03:52:34.685384,completed,CUST_0141,returning_customer,159.32,0.0,9.56,168.88,2,Shoes,Florida,instagram,mobile,standard,2
ORD_000738,2024-09-03 05:58:12.685384,completed,CUST_0224,new_customer,32.89,24.99,2.88,60.76,1,Tops,California,instagram,mobile,overnight,1
ORD_000916,2024-09-03 07:53:27.685384,completed,CUST_0157,returning_customer,140.01,0.0,9.1,149.11,2,Shoes,Washington,email,desktop,express,1
ORD_000063,2024-09-03 10:11:27.685384,cancelled,CUST_0018,returning_customer,132.7,0.0,10.62,143.32,3,Tops,New York,email,mobile,express,1
ORD_000599,2024-09-03 22:32:41.685384,completed,CUST_0055,returning_customer,160.77,0.0,10.05,170.82,2,Shoes,Illinois,email,mobile,standard,4
